question,model_answer,real_answer,model_answer_value,real_answer_value
"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?"," Natalia sold 48 + <<48/2>> = <<48+(48/2)>> = <<48+24>> = <<48+24>> = <<48+24>> = <<48+24>> = <<48+24>> = 96
Natalia sold 96 clips altogether","Natalia sold 48/2 = <<48/2=24>>24 clips in May.
Natalia sold 48+24 = <<48+24=72>>72 clips altogether in April and May.
The answer is 72",96,72
"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?"," She earned $5.50 because 12 x.5 = <<12*.5=5.50>>5.50
She earned $4 because 50 *.4 = <<50*.4=4>>4
She earned $1.20 because 50 *.2 = <<50*.2=.8>>.8
She earned $9 because 12 * 1 = <<12*1=12>>12
She earned $2 because 50 *.2 = <<50*.2=.8>>.8
The answer is $9

Q:","Weng earns 12/60 = $<<12/60=0.2>>0.2 per minute.
Working 50 minutes, she earned 0.2 x 50 = $<<0.2*50=10>>10.
The answer is 10",9,10
"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?"," The total money Betty has is $100 + $15 + <<$15+<<$15*2>>$30>>$30 = <<$100+15+30=155>>155
The wallet costs $100, so she needs to add 5 more dollars.
The answer is 155 - 100 = <<155-100=55>>55

A:","In the beginning, Betty has only 100 / 2 = $<<100/2=50>>50.
Betty's grandparents gave her 15 * 2 = $<<15*2=30>>30.
This means, Betty needs 100 - 50 - 30 - 15 = $<<100-50-30-15=5>>5 more.
The answer is 5",55,5
"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?"," Julie read 12 pages yesterday, which means that there are 120 - 12 = <<120-12=108>>108 pages left to read.
If she reads twice as many pages as yesterday, she would have read 24 pages today, which means that there are 108 - 24 = <<108-24=84>>84 pages left to read.
If she reads half of the remaining pages tomorrow, she would have read half of 84 pages, which is equal to 36 pages. The number of pages she will read is half of 84, which is 36.
The answer is 36

A:","Maila read 12 x 2 = <<12*2=24>>24 pages today.
So she was able to read a total of 12 + 24 = <<12+24=36>>36 pages since yesterday.
There are 120 - 36 = <<120-36=84>>84 pages left to be read.
Since she wants to read half of the remaining pages tomorrow, then she should read 84/2 = <<84/2=42>>42 pages.
The answer is 42",36,42
James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?," 2 friends times 3 times a week times 52 weeks = <<2*2/2*3*3*52>>2,592
The answer is 2,592

A:","He writes each friend 3*2=<<3*2=6>>6 pages a week
So he writes 6*2=<<6*2=12>>12 pages every week
That means he writes 12*52=<<12*52=624>>624 pages a year
The answer is 624",592,624
"Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?"," The total number of flowers in the garden is 10 + <<.8*10=>>8 + <<.25*8=>>4
The total number of yellow flowers is 10 + <<.8*10=>>8
The total number of purple flowers is 10 + <<.8*10=>>8
The total number of green flowers is 10 + <<.8*10=>>8
The total number of flowers is 20 + <<.8*10=>>8 + <<.2*8=>>2
The total number of flowers is 20 + <<.8*10=>>8 + <<.2*8=>>","There are 80/100 * 10 = <<80/100*10=8>>8 more purple flowers than yellow flowers.
So in Mark's garden, there are 10 + 8 = <<10+8=18>>18 purple flowers.
Purple and yellow flowers sum up to 10 + 18 = <<10+18=28>>28 flowers.
That means in Mark's garden there are 25/100 * 28 = <<25/100*28=7>>7 green flowers.
So in total Mark has 28 + 7 = <<28+7=35>>35 plants in his garden.
The answer is 35",8,35
"Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?"," Albert eats 1 large and 1 small pizza, which is 16 + 8 = <<16+8=24>>24 slices
He eats 24 / 2 = <<24/2=12>>12 pieces
The answer is 12

A:","He eats 32 from the largest pizzas because 2 x 16 = <<2*16=32>>32
He eats 16 from the small pizza because 2 x 8 = <<2*8=16>>16
He eats 48 pieces because 32 + 16 = <<32+16=48>>48
The answer is 48",12,48
"Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?"," The weight of the box at the beginning was 2 pounds because 2 x.45 = <<2*.45=2>>2
The weight of the box at the end was 12 pounds because.45 + 2*.45 + 2*.45 = <<.45+2*.45+.45=2.9>>2.9
The total weight was 12 pounds because 2.9 + 2 = <<2.9+2=6>>6
The answer is 6

Q:","To the initial 2 pounds of jelly beans, he added enough brownies to cause the weight to triple, bringing the weight to 2*3=<<2*3=6>>6 pounds.
Next, he added another 2 pounds of jelly beans, bringing the weight to 6+2=<<6+2=8>>8 pounds.
And finally, he added enough gummy worms to double the weight once again, to a final weight of 8*2=<<8*2=16>>16 pounds.
The answer is 16",6,16
"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?"," The shoes cost $20 because 16+.16=<<16+.16=20>>20
The suit coat cost $38 because 30+.38=<<30+.38=38>>38
The suit pants cost $46 because 30+.46=<<30+.46=46>>46
The shirt cost $30 because 20+.30=<<20+.30=30>>30
The pants cost $50 because 30+.50=<<30+.50=50>>50
The socks cost $1 because.1+.1=<<.1+.1=1>>1
The shoes cost $20 because 16+.","Let S be the amount Alexis paid for the shoes.
She spent S + 30 + 46 + 38 + 11 + 18 = S + <<+30+46+38+11+18=143>>143.
She used all but $16 of her budget, so S + 143 = 200 - 16 = 184.
Thus, Alexis paid S = 184 - 143 = $<<184-143=41>>41 for the shoes.
The answer is 41",16,41
"Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?"," 10 x.5 x 8 + 10 x.5 x 8 = <<10*.5*8+10*.5*8=.25*4+.25*4=.5*2>>.5*2
The overtime is $18.00 + (18.00 +.5*2) = <<18.00+(18.00+.5*2)=18.50>>18.50
The overtime is $18.50 - 10 x.5 x 8 = <<18.50-10*.5*8=.5*8>>.5*8
The overtime is.5*8 + 18.50","She works 8 hours a day for $18 per hour so she makes 8*18 = $<<8*18=144.00>>144.00 per 8-hour shift
She works 10 hours a day and anything over 8 hours is eligible for overtime, so she gets 10-8 = <<10-8=2>>2 hours of overtime
Overtime is calculated as time and a half so and she makes $18/hour so her overtime pay is 18*.5 = $<<18*.5=9.00>>9.00
Her overtime pay is 18+9 = $<<18+9=27.00>>27.00
Her base pay is $144.00 per 8-hour shift and she works 5 days and makes 5 * $144 = $<<144*5=720.00>>720.00
Her overtime pay is $27.00 per hour and she works 2 hours of overtime per day and makes 27*2 = $<<27*2=54.00>>54.00 in overtime pay
2 hours of overtime pay for 5 days means she makes 54*5 = $270.00
In 5 days her base pay is $720.00 and she makes $270.00 in overtime pay so she makes $720 + $270 = $<<720+270=990.00>>990.00
The answer is 990",50,990
